Title,,Year,Educational Domain,Educational Level,Application Type (Category),Application Type (Sub-Category),Educational Objective,Number of Agents,Agents Role
Manchita: An AI-Powered Gamified Learning Environment,"Klopstock, N; Duarte, E J; Becerra, E; Manrique, R",2025,Not Specified,Higher Education,Learning Support Tools,AI-driven Tutoring Systems,Propose an interactive and conversational Q&A system,2,"QA generation agent, Evaluative agent"
Grade-Like-a-Human: Rethinking Automated Assessment with Large Language Models,"Xie, W; Niu, J; Xue, C J; Guan, N",2026,Computer & Technology,Higher Education,Intelligent Assessment and Feedback Systems,Automated Assessment,Improving the accuuracy  and fairness of short-answer question grading.,3,"Rubric Generation, Grading, Post-Gradaing Review"
Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,"Mushtaq, A.; Naeem, R.; Ghaznavi, I.; Taj, I.; Hashmi, I.; Qadir, J.",2025,Computer & Technology,Higher Education,Learning Support Tools,Problem-Solving Assistance Systems,,10,"Problem Formulation Agent, Breadth and Depth Agent, Ambiguity and Uncertainty Agent, System Complexity Agent, Technical ,Innovation and Risk Management Agent, Societal and Ethical Consideration Agent, Methodology and Approach Agent, Comprehensive Evaluation Agent, Coordinator Agent, Task Agent"
Multi-Agent Collaborative Framework For Math Problem Generation,"Karbasi, K.; Hong, K.; Samadi, M.A.; Pottie, G.",2025,STEM Fields,K-12,Educational Content Development and Instructional Design,Automated Generation of Questions,Improves question generation and difficulty control of generated questions.,Multiple,"Teacher, Generic Critic (First Scenario)
Consensus CEO, Versatile Agents (Second and selected scenario)"
LLM-based Collaborative Agents with Pedagogy-guided Interaction Modeling for Timely Instructive Feedback Generation in Task-oriented Group Discussions,"Yang, Q; Yang, Y; An, S; Hao, T; Xu, G",2025,Not Specified,Multiple / Not Specified,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Improve collaborative learning quality,Multiple,"Tutor Agent, Student Agents"
DentEval: Fine-tuning-Free Expert-Aligned Assessment in Dental Education via LLM Agents,"Deng, X; Miletic, V; Trinh, E; Gao, J; Xu, C; Liu, D",2025,Health Education,Higher Education,Intelligent Assessment and Feedback Systems,Automated Assessment,Improve automated grading accuracy for open-ended dental assessment,4,"Information refinment Agent, Sufficiency Judge Agent, Sample answer generator Agent (Professor agent), Evaluator Agent"
LLMs as Educational Analysts: Transforming  Multimodal Data Traces Into Actionable Reading Assessment Reports,"Davalos, E; Zhang, Y; Srivastava, N; Salas, J A; McFadden, S; Cho, S-J; Biswas, G; Goodwin, A",2025,Language & Writing,K-12,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Generate actionable reading assessment reports using eye tracking data.,2,"Report Curator Agent, Report Evaluator Agent"
Enhancing collaborative learning through AI-powered  feedback systems,"Qi, X; Zhou, J L; Dong, Y F; Chen, F",2025,Computer & Technology,Multiple / Not Specified,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Provides Interactive feedback,2,"Tutor Agent, Learner Agent"
LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System,"Wang, T.; Zhan, Y.; Lian, J.; Hu, Z.; Yuan, N.J.; Zhang, Q.; Xie, X.; Xiong, H.",2025,Not Specified,Professional Training,Learning Support Tools,AI-driven Tutoring Systems,It designes goal-oriented ITS that follows an objective.,5,"Skill gap Identifier, Learner profiler, Learner simulator, Path scheduler, Content creator
"
Simulating Collaborative Learning with Data-Driven LLM-Agents,"Yan, Y; Liang, C; Ogata, H",2025,STEM Fields,K-12,Simulation-based Learning Systems,,Simulate collaborative learning to study collaborative learning mechanisms and optimize student grouping.,Multiple,"Student Agents, (Standard Solution Generator, Probable Error Predictor, Personal Solution Generator), (Next Speaker Selector, Task Stage Monitor) "
Exploring Communication Strategies for Collaborative  LLM Agents in Mathematical Problem-Solving,"Zhang, L; Zhai, X; Lin, J; Kleiman, J; Zapata-Rivera, D; Forsyth, C; Jiang, Y; Hu, X; Graesser, A C",2025,STEM Fields,Multiple / Not Specified,Learning Support Tools,Problem-Solving Assistance Systems,Improves mathematical problem solving,2,"Agent A, Agent B (without specific names)"
SocraticLM: Exploring Socratic Personalized Teaching with Large Language Models,"Liu, J; Huang, Z; Xiao, T; Sha, J; Wu, J; Liu, Q; Wang, S; Chen, E",2024,STEM Fields,K-12,Learning Support Tools,Educational Q&A Systems,Proposed a Socratic based tutoring system.,3,"Dean, Teacher, Student"
Multi-Agentic LLMs for Personalizing STEM Texts,"Vaccaro, M.; Friday, M.; Zaghi, A.",2025,STEM Fields,K-12,Educational Content Development and Instructional Design,Learning Content Development,"Adapt learning materials to learner preference, and improve personalized learning",2,"Profiler Agent, Rewrite Agent"
Synthesizing High-Quality Programming Tasks with LLM-Based Expert and Student Agents,"Nguyen, M; Pǎdurean, V-A; Gotovos, A; Tschiatschek, S; Singla, A",2025,Computer & Technology,Higher Education,Educational Content Development and Instructional Design,Automated Generation of Questions,Generating high-quality programming tasks.,Multiple,"SimExpert, SimTutor, SimStudent Agents"
KAQG: A Knowledge-Graph-Enhanced RAG for Difficulty-Controlled Question Generation,"Han Chen, C; Fang Shiu, M",2025,Not Specified,Multiple / Not Specified,Educational Content Development and Instructional Design,Automated Generation of Questions,Integrates bloom's taxonomy for question generation. Enhance question quality and psychometric validity.,3,"Data Extraction Agent (Not LLM), KG Management Agent (retriever), Question Generation Agent (generator), Question Evaluation Agent (evaluator)"
Simulating Classroom Education with LLM-Empowered Agents,"Zhang, Z; Zhang-Li, D; Yu, J; Gong, L; Zhou, J; Hao, Z; Jiang, J; Cao, J; Liu, H; Liu, Z; Hou, L; Li, J",2025,Not Specified,Higher Education,Simulation-based Learning Systems,,,6,"Teacher, Teacher Assistant
Classmate Agents:
1) Class Clown
2) Deep Thinker
3) Note Taker
4) Inquisitive Mind"
Prompt Engineering an Informational Chatbot for  Education on Mental Health Using a Multiagent  Approach for Enhanced Compliance With Prompt Instructions: Algorithm Development and Validation,"Waaler, P.N.; Hussain, M.; Molchanov, I.; Bongo, L.A.; Elvevåg, B.",2025,Health Education,Multiple / Not Specified,Learning Support Tools,Educational Chatbots,Improve accessibility of validated mental health information,3,"Preliminary judges, Chief judges, Refinement agent"
DevCoach: Supporting Students Learning the Software Development Life Cycle with a Generative AI powered Multi-Agent System,"Wang, T.; Trimble, M.; Brown, C.",2025,Computer & Technology,Higher Education,Learning Support Tools,AI-driven Tutoring Systems,"Improve students' understanding 
of the Software Development Life Cycle (SDLC) ",7,"Main Coordinator, Team Lead, Product Manager, Stakeholder, Software Architect, Senior Developer, Quality Assurance"
